#m=1000000, n=800000, Kmax=80000000
# m n K freeFraction successfull unsuccessfull
1000000 800000 1 0.199999 2.99313 12.9008
1000000 800000 2 0.199998 2.9932 12.9009
1000000 800000 4 0.199998 2.99323 12.9009
1000000 800000 8 0.199995 2.99328 12.9009
1000000 800000 16 0.199989 2.99339 12.9023
1000000 800000 32 0.199978 2.99365 12.905
1000000 800000 64 0.199953 2.99418 12.9081
1000000 800000 128 0.1999 2.99521 12.9152
1000000 800000 256 0.199799 2.99699 12.9579
1000000 800000 512 0.199595 3.00063 12.989
1000000 800000 1024 0.199179 3.00812 13.0373
1000000 800000 2048 0.198374 3.0238 13.1984
1000000 800000 4096 0.196817 3.05306 13.4598
1000000 800000 8192 0.19375 3.10795 13.9077
1000000 800000 16384 0.18807 3.21561 14.8098
1000000 800000 32768 0.177595 3.41345 16.4758
1000000 800000 65536 0.159346 3.77805 19.4503
1000000 800000 131072 0.129659 4.45936 26.3643
1000000 800000 262144 0.087795 5.75092 42.9999
1000000 800000 524288 0.041873 8.19163 96.5491
1000000 800000 1048576 0.025476 9.93747 156.805
1000000 800000 2097152 0.022175 10.7994 185.615
1000000 800000 4194304 0.020198 11.3059 202.704
1000000 800000 8388608 0.019891 11.3666 200.043
1000000 800000 16777216 0.0203 11.3403 204.453
1000000 800000 33554432 0.020062 11.3907 207.161
1000000 800000 67108864 0.0208 11.3922 202.302
1000000 800000 79999999 0.02026 11.4341 205.963
