Reconcile after implementing wrap-around
#m=1000000, n=800000, Kmax=80000000
# m n K freeFraction successfull unsuccessfull
1000000 800000 1 0.2 2.99313 11.8985
1000000 800000 2 0.199999 2.9932 11.901
1000000 800000 4 0.199998 2.99323 11.901
1000000 800000 8 0.199996 2.99328 11.9011
1000000 800000 16 0.19999 2.99339 11.9024
1000000 800000 32 0.199979 2.99365 11.9051
1000000 800000 64 0.199954 2.99418 11.9082
1000000 800000 128 0.199901 2.99521 11.9153
1000000 800000 256 0.1998 2.997 11.958
1000000 800000 512 0.199596 3.00064 11.989
1000000 800000 1024 0.19918 3.00812 12.0374
1000000 800000 2048 0.198374 3.0238 12.1986
1000000 800000 4096 0.196818 3.05306 12.4599
1000000 800000 8192 0.193751 3.10795 12.907
1000000 800000 16384 0.188069 3.21561 13.8104
1000000 800000 32768 0.177596 3.41345 15.4758
1000000 800000 65536 0.159347 3.77805 18.4504
1000000 800000 131072 0.129661 4.45936 25.3644
1000000 800000 262144 0.087799 5.75092 41.9997
1000000 800000 524288 0.041877 8.19191 95.6097
1000000 800000 1048576 0.025483 9.93793 155.92
1000000 800000 2097152 0.022185 10.801 184.674
1000000 800000 4194304 0.0202 11.307 201.757
1000000 800000 8388608 0.01989 11.3692 199.47
1000000 800000 16777216 0.020309 11.3409 203.483
1000000 800000 33554432 0.02007 11.3905 206.239
1000000 800000 67108864 0.020789 11.3902 201.513
1000000 800000 79999999 0.020274 11.4359 205.168
