Stochastic 80% Avg. Load
# m=1000000, E[load]=(w/(1+w))=0.8, Kmax(sim. dels.)=100000000
#m n K freeFraction successfull unsuccessfull
1000000 0.799693 20000001 0.020015 11.3301 215.189
1000000 0.799694 20000002 0.020015 11.3301 215.189
1000000 0.799696 20000004 0.020015 11.3301 215.189
1000000 0.799694 20000008 0.020015 11.3301 215.189
1000000 0.799692 20000016 0.020014 11.3302 215.19
1000000 0.799692 20000032 0.020013 11.3301 215.19
1000000 0.799692 20000064 0.020012 11.3301 215.184
1000000 0.799698 20000128 0.020011 11.3299 215.184
1000000 0.799714 20000256 0.020007 11.3297 215.183
1000000 0.799716 20000512 0.020003 11.33 215.369
1000000 0.799684 20001024 0.020006 11.3301 215.344
1000000 0.79972 20002048 0.019998 11.3298 215.098
1000000 0.799746 20004096 0.019981 11.3302 214.444
1000000 0.799844 20008192 0.019986 11.3288 214.091
1000000 0.799832 20016384 0.020018 11.3298 214.026
1000000 0.799848 20032768 0.02001 11.3265 212.308
1000000 0.800138 20065536 0.019935 11.3234 213.832
1000000 0.800362 20131072 0.019815 11.3253 213.719
1000000 0.800558 20262144 0.019655 11.3208 210.149
1000000 0.800352 20524288 0.019842 11.3593 212.406
1000000 0.799738 21048576 0.020012 11.3961 207.994
1000000 0.800322 22097152 0.020132 11.3583 206.399
1000000 0.800726 24194304 0.019615 11.435 215.526
1000000 0.800026 28388608 0.020244 11.3982 202.587
1000000 0.800452 36777216 0.020353 11.4386 205.889
1000000 0.800436 53554432 0.019922 11.2925 207.625
1000000 0.799974 87108864 0.020445 11.4642 212.532
1000000 0.799982 154217728 0.020225 11.2791 209.634
1000000 0.799431 200799429 0.020185 11.2979 203.687
