Stochasitc 80% Avg Load
# m=1000000, E[load]=(w/(1+w))=0.8, Kmax(sim. dels.)=100000000
#m n K freeFraction successfull unsuccessfull
1000000 1e-06 1 0.999999 1 1e-06
1000000 2e-06 2 0.999998 1 2e-06
1000000 4e-06 4 0.999996 1 4e-06
1000000 8e-06 8 0.999992 1 8e-06
1000000 1.6e-05 16 0.999984 1 1.6e-05
1000000 3.2e-05 32 0.999968 1 3.2e-05
1000000 6.4e-05 64 0.999936 1 6.4e-05
1000000 0.000128 128 0.999872 1 0.000128
1000000 0.000256 256 0.999744 1 0.000256
1000000 0.000512 512 0.999488 1 0.000513
1000000 0.001022 1024 0.998978 1 0.001024
1000000 0.002046 2048 0.997954 1.00049 0.002053
1000000 0.004094 4096 0.995906 1.00098 0.004113
1000000 0.008178 8192 0.991822 1.00342 0.00828
1000000 0.01632 16384 0.98368 1.00901 0.016729
1000000 0.032498 32768 0.9675 1.01695 0.03419
1000000 0.064442 65536 0.935533 1.03616 0.071458
1000000 0.126478 131072 0.87333 1.07505 0.155945
1000000 0.243342 262144 0.755215 1.17044 0.379993
1000000 0.443162 524288 0.546501 1.45327 1.19939
1000000 0.690036 1048576 0.253507 2.60829 7.03572
1000000 0.79512 2097152 0.058102 6.73519 62.4997
1000000 0.79968 4194304 0.023247 10.3268 170.999
1000000 0.800276 8388608 0.02062 11.2255 203.057
1000000 0.801102 16777216 0.019864 11.3277 213.927
1000000 0.80048 33554432 0.019998 11.3874 207.23
1000000 0.800032 67108864 0.020154 11.2936 206.515
1000000 0.800166 134217728 0.020135 11.4028 206.888
1000000 0.799431 200799429 0.020185 11.2979 203.687
