k = 2
# m=1000000, E[load]=(k/(1+k))=0.666667, Kmax(sim. dels.)=8388608
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1 1.00059 1 0 2
1000000 0.002143 2 0.997857 1.00233 1.00215 1.00322 0 2
1000000 0.002617 4 0.997383 1.00267 1.00263 1.0042 0 2
1000000 0.005443 8 0.994557 1.00423 1.00551 1.00565 0 2
1000000 0.007643 16 0.992357 1.00471 1.00775 1.00589 0 2
1000000 0.01119 32 0.98881 1.00679 1.01141 1.01123 0 2
1000000 0.015647 64 0.984352 1.00965 1.01606 1.01671 0 2
1000000 0.022537 128 0.97746 1.01189 1.02332 1.01682 0 2
1000000 0.031441 256 0.968552 1.01698 1.03297 1.02945 0 2
1000000 0.044157 512 0.955829 1.02353 1.04714 1.03893 0 2
1000000 0.062098 1024 0.937855 1.03477 1.06839 1.06069 0 2
1000000 0.087322 2048 0.912564 1.04999 1.10032 1.0842 0 2
1000000 0.118236 4096 0.881425 1.07131 1.14397 1.12369 0 2
1000000 0.162543 8192 0.83658 1.10422 1.2152 1.17631 0 2
1000000 0.222579 16384 0.775129 1.15765 1.33434 1.26778 0 2
1000000 0.299748 32768 0.694458 1.2459 1.54559 1.41711 0 2
1000000 0.389643 65536 0.595733 1.39867 1.9446 1.67974 0 2
1000000 0.488386 131072 0.477484 1.67249 2.80353 2.09876 0 2
1000000 0.580654 262144 0.346311 2.19725 4.88865 2.79263 0 2
1000000 0.642527 524288 0.223411 3.14574 10.1716 3.65961 0 2
1000000 0.665149 1048576 0.147639 4.28374 19.6804 4.36017 0 2
1000000 0.665916 2097152 0.133889 4.63919 22.8888 4.60976 0 2
1000000 0.667147 4194304 0.132015 4.65942 23.323 4.66344 0 2
