k = 10
# m=1000000, E[load]=(w/(1+w))=0.909091, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00427 1.00687 0.909091 10
1000000 0.0098 2 0.9902 1.00561 1.00994 0.909091 10
1000000 0.011613 4 0.988387 1.00654 1.0118 0.909091 10
1000000 0.015731 8 0.984269 1.00782 1.01611 0.909091 10
1000000 0.020638 16 0.979362 1.01085 1.0213 0.909091 10
1000000 0.025804 32 0.974194 1.01391 1.02684 0.909091 10
1000000 0.036238 64 0.963759 1.01932 1.03835 0.909091 10
1000000 0.051857 128 0.948137 1.02729 1.05618 0.909091 10
1000000 0.073809 256 0.926176 1.04009 1.08304 0.909091 10
1000000 0.099397 512 0.900567 1.05579 1.11672 0.909091 10
1000000 0.136319 1024 0.863585 1.07965 1.17072 0.909091 10
1000000 0.187673 2048 0.812083 1.11717 1.25884 0.909091 10
1000000 0.257861 4096 0.741476 1.17822 1.41095 0.909091 10
1000000 0.351037 8192 0.647196 1.27875 1.69628 0.909091 10
1000000 0.460478 16384 0.535145 1.4486 2.25066 0.909091 10
1000000 0.588477 32768 0.401262 1.77352 3.61217 0.909091 10
1000000 0.723195 65536 0.255081 2.49837 8.0751 0.909091 10
1000000 0.834299 131072 0.126735 4.30174 26.5509 0.909091 10
1000000 0.894813 262144 0.044957 8.44662 112.954 0.909091 10
1000000 0.908684 524288 0.009391 16.2229 495.606 0.909091 10
1000000 0.908825 1048576 0.000777 28.5458 4280.39 0.909091 10
1000000 0.908835 2097152 0.000505 35.4187 7420.85 0.909091 10
1000000 0.909254 4194304 0.000297 42.1105 11260 0.909091 10
1000000 0.908944 8388608 0.00025 45.7953 13105.1 0.909091 10
1000000 0.908982 16777215 0.000118 47.3773 25624.6 0.909091 10
