k = 24
# m=1000000, E[load]=(w/(1+w))=0.96, Kmax(sim. dels.)=2097152
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00265 1.00684 0.96 24
1000000 0.0098 2 0.9902 1.00367 1.00992 0.96 24
1000000 0.015498 4 0.984502 1.00665 1.01582 0.96 24
1000000 0.018873 8 0.981127 1.0089 1.01938 0.96 24
1000000 0.02644 16 0.97356 1.01282 1.02748 0.96 24
1000000 0.036051 32 0.963948 1.01828 1.03806 0.96 24
1000000 0.057481 64 0.942517 1.02973 1.06281 0.96 24
1000000 0.080822 128 0.919172 1.04324 1.09172 0.96 24
1000000 0.105825 256 0.894159 1.05767 1.12524 0.96 24
1000000 0.144977 512 0.854978 1.08472 1.18386 0.96 24
1000000 0.201852 1024 0.798009 1.12593 1.28471 0.96 24
1000000 0.278972 2048 0.720672 1.19242 1.46061 0.96 24
1000000 0.379805 4096 0.619261 1.30861 1.80184 0.96 24
1000000 0.497627 8192 0.500073 1.5045 2.50385 0.96 24
1000000 0.635124 16384 0.359604 1.90236 4.37398 0.96 24
1000000 0.776758 32768 0.212463 2.85704 11.2762 0.96 24
1000000 0.890705 65536 0.09163 5.66717 51.2924 0.96 24
1000000 0.947824 131072 0.027737 13.3888 304.374 0.96 24
1000000 0.959659 262144 0.006281 27.3194 1333.93 0.96 24
1000000 0.95998 524288 0.000562 50.5398 7669.79 0.96 24
1000000 0.959825 1048576 1.2e-05 91.062 168221 0.96 24
1000000 0.959865 2097151 1e-06 111.864 500000 0.96 24
