k = 11
# m=1000000, E[load]=(k/(1+k))=0.916667, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00412 1.00685 1.00412 0 11
1000000 0.0098 2 0.9902 1.005 1.00993 1.00698 0 11
1000000 0.011613 4 0.988387 1.00551 1.01179 1.00826 0 11
1000000 0.017708 8 0.982292 1.00785 1.01816 1.0123 0 11
1000000 0.022467 16 0.977533 1.01153 1.02325 1.02517 0 11
1000000 0.026776 32 0.973224 1.01363 1.02791 1.02451 0 11
1000000 0.036953 64 0.963047 1.01908 1.03916 1.0333 0 11
1000000 0.053716 128 0.946281 1.02711 1.05834 1.04463 0 11
1000000 0.077868 256 0.922118 1.04193 1.08801 1.07451 0 11
1000000 0.102707 512 0.897259 1.05672 1.121 1.10209 0 11
1000000 0.141035 1024 0.858874 1.08097 1.17769 1.14405 0 11
1000000 0.195289 2048 0.804451 1.12131 1.27209 1.22202 0 11
1000000 0.269657 4096 0.729674 1.18626 1.43823 1.3473 0 11
1000000 0.365111 8192 0.633091 1.29449 1.7491 1.57582 0 11
1000000 0.47763 16384 0.517859 1.4783 2.37415 2.00253 0 11
1000000 0.608142 32768 0.38136 1.83975 3.95757 2.9242 0 11
1000000 0.743139 65536 0.235273 2.66376 9.22232 5.33579 0 11
1000000 0.851134 131072 0.111113 4.72979 33.1894 12.2114 0 11
1000000 0.905623 262144 0.037247 9.47282 141.899 25.4365 0 11
1000000 0.916377 524288 0.007139 18.4089 669.936 32.1709 0 11
1000000 0.916362 1048576 0.000606 32.7763 5660.29 34.2156 0 11
1000000 0.916438 2097151 0.000181 40.5942 18919.3 40.3554 0.916399 11
