k = 134
# m = 10000, Approx. E[load]=(k/(1+k))=0.992593, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0044 1.0044 1.03204 0 134 0
10000 0.991 500001 0 2636.8 10000 2881.16 1900.63 0 134 3
10000 0.9931 1000001 0 3673.02 10000 4862.48 3285.68 0 134 7
10000 0.9915 1500001 0 3570.16 10000 4298.85 3666.39 0 134 12
10000 0.9933 2000001 0 3395.03 10000 3713.68 3343.47 0 134 17
10000 0.9909 2500001 0 4032.8 10000 4906.95 3762 0 134 22
10000 0.9928 3000001 0 4416.77 10000 4823.6 4271.16 0 134 28
10000 0.9937 3500001 0 4612.87 10000 2600.86 4545.41 0 134 34
10000 0.992 4000001 0 4737.88 10000 4906.95 4699.66 0 134 40
10000 0.9923 4500001 0 4814.74 10000 4918.84 4766.25 0 134 47
10000 0.9925 4999999 0 4777.62 10000 4882.3 4791.5 0.992546 134 54
