Stochastic 80% Avg Load
# m=1000000, E[load]=(w/(1+w))=0.8, Kmax(sim. dels.)=100000000
#m n K freeFraction successfull unsuccessfull E[Load]
1000000 0.000592 1 0.999408 1 0.000594 0.8
1000000 0.004242 2 0.995758 1.00094 0.004262 0.8
1000000 0.005451 4 0.994549 1.0022 0.005496 0.8
1000000 0.009788 8 0.990212 1.0046 0.009935 0.8
1000000 0.012324 16 0.987676 1.00633 0.01255 0.8
1000000 0.016086 32 0.983914 1.00877 0.016479 0.8
1000000 0.022636 64 0.977364 1.0118 0.023463 0.8
1000000 0.031517 128 0.968482 1.01628 0.033098 0.8
1000000 0.043867 256 0.956126 1.02396 0.047048 0.8
1000000 0.062721 512 0.937255 1.03517 0.069337 0.8
1000000 0.087823 1024 0.912107 1.04932 0.101248 0.8
1000000 0.120185 2048 0.879647 1.07083 0.146524 0.8
1000000 0.165204 4096 0.834366 1.10384 0.219354 0.8
1000000 0.228968 8192 0.769829 1.157 0.346316 0.8
1000000 0.310891 16384 0.686108 1.24375 0.568642 0.8
1000000 0.410295 32768 0.581892 1.39053 0.995563 0.8
1000000 0.52366 65536 0.457587 1.65505 1.93545 0.8
1000000 0.641337 131072 0.317519 2.19018 4.47412 0.8
1000000 0.737883 262144 0.182289 3.3383 12.5772 0.8
1000000 0.789443 524288 0.079707 5.67296 41.696 0.8
1000000 0.79946 1048576 0.030691 9.15316 128.351 0.8
1000000 0.7994 2097152 0.022365 10.667 183.573 0.8
1000000 0.800516 4194304 0.020742 11.2647 202.665 0.8
1000000 0.800438 8388608 0.01993 11.3129 210.062 0.8
1000000 0.799508 16777216 0.020111 11.4044 209.569 0.8
1000000 0.800312 33554432 0.020171 11.3597 201.51 0.8
1000000 0.800483 67108864 0.020013 11.401 203.29 0.8
1000000 0.799431 99999999 0.020185 11.2979 203.687 0.8
